Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,2871.23430531732,3235.96912334297,4005.49314546839,4831.89183301108,5463.17986477979,6125.73293948763,6864.82362958724,7954.84906327324,9321.81078215013,11396.5963754741,13418.4110840887,16050.6114110173,17781.7686523481,18600.3133621207,19323.5042417579,19700.6897861955,20660.6780291115,22190.2131931566,21171.9528925957,22624.8571957476,23638.9225485278,24611.1332356514,25280.6039276069,26816.4801397397,25418.2335962942,25496.2716945262,26465.3107236548,28132.1400568793,30922.3946982174,34594.4639815727,38747.4809971438,39952.8947425334,35322.1604812943,32871.6842205343,32214.2510891255,33797.4064085475,32925.4436539091,34956.8647281922,36879.6993685138,39047.8759545576
Australia,AUS,1615.53419523053,1675.0930077268,1655.09216160864,1755.43378995434,1902.03277514104,2035.65156304882,2091.32263325036,2302.14424951267,2430.42717961529,2669.24896028704,2948.82865595267,3118.49733323027,3378.23480306595,3720.62780269058,4395.75894483713,5124.81105592745,5934.29772678686,6773.53438556933,7311.18540186656,8175.48573790823,9156.27552409475,10201.7820057614,11581.3018843062,12317.8476153296,13745.946989192,14930.8287853789,16268.1666084003,17596.3329828639,19631.0835823423,21907.2937482158,23714.9503958371,24036.3341819023,24206.8019434124,25163.8082300334,26166.9000280034,27454.0725984949,28922.3963737644,30093.7516876384,31499.8663887553,32812.0046496883,34538.4535059782,36369.5461803946,38380.3698464232,40290.067050675,42838.0714846428,45249.0340675074,48239.5798607588,52211.4886016632,55475.453193532,58053.5412162256,58892.6435712097,63135.2052262791,65592.7290235561,65995.659447433,67645.1099802086,67797.1843608998,68352.2801737026
Austria,AUT,1767.54658668792,1949.6079541662,2055.45595371805,2205.04015838767,2398.54708289999,2597.16982393762,2809.61781879595,2965.8762591504,3169.95356826864,3449.05559117625,3890.04417519766,4323.38065740308,4912.10969856185,5536.10898332018,6290.42059007996,6690.01015054553,7402.9126597295,8180.24496493989,8659.23135869288,9514.64299598976,10219.5475474781,10862.4872138053,11666.0074543116,12450.1316598584,13073.9077270264,13791.1647015824,14515.669158236,15061.6766777749,15773.2947746284,16796.391763469,17915.0017778415,19015.6586082254,19869.2990264018,20356.1154559034,21289.3262171757,22219.7499886139,22935.1036692094,23685.0889697982,24614.7428495351,25505.7953106005,26662.2630332197,27420.6721888894,28054.4947220085,28549.4869556727,29656.0533903347,30879.9599505532,32390.3831355116,34232.8268370501,35301.5743803758,34523.8965337912,35379.9290336805,36956.8462338067,37799.9264767898,38199.7729785509,38993.115438312,39903.4433358133,40462.4741924929
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0409554407040089,0.0734974556457159,0.65295312923327,4.19164776517678,49.3191259707779,277.657774886142,352.008244235476,402.931776863458,434.806015417667,472.904700761016,586.201326938846,655.340763388894,741.859654060536,867.91513340863,1026.94275567327,1492.22161978586,2209.4548326075,3304.91883514153,4580.09448387612,3979.04695334641,4690.02020248429,5677.69916370528,5889.12134791428,6178.53132926989,6189.14641399405,5635.6180178522,6189.25636197951
Burundi,BDI,3517.45393032426,3574.36388645707,3689.08824748097,3945.01418001672,4330.15973182404,4358.59014463221,4591.7132586656,4824.02258734709,4833.7978664346,4906.90212406387,6146.27362031435,6311.33588235949,6093.42934786136,6805.97123367677,7513.84864525775,9029.75736852627,10342.0124669121,12896.0215053201,14032.5895658608,17547.7847462568,20106.6503563311,20651.236800574,21043.590393286,22626.2428271632,25850.6785390214,29517.0250694057,28338.1509904339,28029.5508824044,29588.2597125053,33473.9008762081,35801.1343544308,38234.6020821184,39850.637106773,39487.8326187173,39805.2873770332,41909.1855194968,43551.5845427133,56085.497334221,64690.7903074381,72528.1655820887,98009.9996937838,111053.308178111,113954.965290721,122172.985265736,140288.592278597,162784.986547068,170637.436422995,184783.237083405,232688.574064351,252118.645814817,284542.023262419,328484.256330619,382675.971001244,439710.515900421,483724.686856474,472638.230518461,472764.625640327
Belgium,BEL,1578.69957040425,1673.52629784054,1783.00296922818,1902.61220934426,2109.38335419929,2275.16027687787,2426.41414042077,2586.31776524996,2754.5451341109,3046.71282533585,3446.67292351787,3769.21701507739,4203.07184087512,4760.65670128068,5566.19143121063,6142.34923015703,6968.69957274363,7527.42039506598,8076.22215645578,8629.90357197761,9375.03064637221,9829.56264652882,10639.5047412808,11272.6204198256,12179.0362859971,12949.275281316,13549.2429138102,14083.2141264331,15020.4549962511,16228.0830659256,17156.6977738079,17907.1080413327,18727.6887431736,19212.9987431175,20186.0514098863,20875.9737159941,21261.2107728178,22194.6039015857,22982.3989160844,23881.869107847,25189.3183758078,25838.3892784475,26620.6158359048,27239.0976484207,28663.9356147031,29725.3731098293,30969.2264607045,32441.3920965207,33059.4577596041,32305.0364595244,33509.0283349606,34315.2683479994,34821.3096655124,35084.1652867967,35711.1396614363,36404.8309963744,37310.8696442097
Benin,BEN,22808.6633942282,23440.0362225538,23145.1241282099,24467.1205914288,25566.0812114626,26989.2415767472,27747.123977363,27540.1948300502,28939.0919511819,30161.953139991,31663.7983889244,30996.9057358599,33978.2118152812,36105.2361277269,41886.0235513953,44427.1584131277,49858.4922858783,53669.8030458674,59478.6207646105,69734.7518575243,79872.9636160891,91839.3218237713,106066.785539884,103318.135055665,110493.14680288,109804.818580152,105051.513086825,103535.781585324,103274.704698544,99427.9658615241,107186.89843278,108823.756777116,111485.058412698,116642.045810369,155272.157634813,183380.803456676,198192.242436693,210763.177810759,223852.699711681,248510.751192434,266416.116281634,277628.108902795,291827.96707073,301812.831632772,308206.292538688,317430.290426541,327240.359376582,338388.021655414,367268.121251257,374657.367162207,375269.355933994,389734.400952477,427796.438747024,452178.735244942,466572.79799415,463665.114970265,468144.636947957
Burkina Faso,BFA,16777.4130679305,17550.3664052891,18748.6057771203,19202.4350906685,19718.0086646309,20027.6303559316,20279.6799992695,20753.4145021756,20976.9034683397,22491.8373408652,22526.8246453081,23209.1893061112,25033.0859529837,25360.4520407528,29933.7906812222,32731.627764522,37192.390322212,43432.0670549084,50985.0443566113,55749.2280926954,59725.7008112307,69082.4859559409,80539.6388086203,83070.3877246743,84701.0832077896,90254.4108514764,88918.3059010977,87495.7814628935,93244.9207514565,97250.7467694846,95831.5447426488,97724.8409296532,95566.1165568279,94843.3680545232,107193.483316199,117715.263950664,127560.857073031,133948.087383431,150861.406504531,164510.871643235,161477.374714657,172624.139788174,181749.111290073,193158.609807437,196164.342478061,214678.887462533,220990.735746603,227704.407676638,255142.063235216,260998.821816039,285005.392747823,314659.383615273,344004.809303071,345720.070547621,347979.98427952,340269.446265352,371934.836008581
Bangladesh,BGD,425.717827937977,466.285123393512,477.968244529698,486.050377236593,477.618567461864,507.788037827391,535.96149081225,583.978071430228,583.338732047934,641.162121862024,663.590256822025,632.427688392747,558.149220673496,916.024565597463,1426.27298759867,2420.88637573628,2058.09467388765,1992.67926939439,2606.91020411989,2989.85676171378,3446.34879268489,3952.16183300043,4316.4808823099,4736.23869490181,5213.36587710568,6215.01973205648,6822.6907670644,7659.24167122711,8212.5512628972,8917.9522103021,9789.98747154145,10164.7041291291,10748.1005428983,11026.8076984364,11655.1633598267,12848.269756011,15662.0727305667,16632.6590590389,17946.5047144096,19104.8198356144,20405.9023823023,21724.1942935784,23007.2375854504,25055.5821502415,27124.818557918,29775.5575340665,33180.407844081,37365.9591481647,42248.4970916526,46862.7276189988,52418.2324782962,59503.437017833,67759.8412480072,76087.6652499619,84292.9674869802,94031.8777156101,106342.259012433
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,2.91044384522546,3.12874074202375,3.25350601634524,3.33506418197043,3.53443081712893,3.63764622851708,3.84272637796264,4.0719917684712,4.26936820641131,4.45863747232728,5.2063656068295,15.7199062551442,23.5124290353206,35.2796219875257,62.2483964464882,104.431953730561,215.054456472011,2265.37258838595,3119.41813679076,3020.46190399171,3416.98546860458,3855.793167358,4335.80986788456,4696.4279444453,5326.21299336777,6129.05739830358,7037.3334006927,8478.11363785161,9710.41810670611,9804.07802168678,10110.2371829516,10990.1146219929,11229.3548710301,11309.6745199491,11577.386738369,12339.2914535557,13205.9835388706
